FL-experiment | INFO flwr 2024-03-07 04:01:09,395 | server.py:77 | Start evaluating fit round=1
FL-experiment | INFO flwr 2024-03-07 04:01:09,395 | server.py:79 | Done Evaluating fit round=1
FL-experiment | DEBUG flwr 2024-03-07 04:01:09,395 | server.py:80 | Round: 1, Aggregated accuracy: {'accuracy': 0.26193}, Aggregated loss: 646.6154663085938, IPFS hash: QmZ3U99dd6DG6pn9gWkFHnoKABBKwwYHoidXwNqtSKh5mr
FL-experiment | INFO flwr 2024-03-07 04:01:09,395 | server.py:83 | Start sending aggregated model to perun nodes round=1
FL-experiment | INFO flwr 2024-03-07 04:01:09,395 | server.py:86 | PERUN REQUEST: Setting model with peer_0, REQ=set,peer_0,1,1,0,0,99
FL-experiment | INFO flwr 2024-03-07 04:01:09,400 | server.py:86 | PERUN REQUEST: Setting model with peer_1, REQ=set,peer_1,1,1,0,0,99
FL-experiment | INFO flwr 2024-03-07 04:01:09,408 | server.py:86 | PERUN REQUEST: Setting model with peer_2, REQ=set,peer_2,1,1,0,0,99
FL-experiment | INFO flwr 2024-03-07 04:01:09,413 | server.py:86 | PERUN REQUEST: Setting model with peer_3, REQ=set,peer_3,1,1,0,0,99
FL-experiment | INFO flwr 2024-03-07 04:01:09,418 | server.py:86 | PERUN REQUEST: Setting model with peer_4, REQ=set,peer_4,1,1,0,0,99
FL-experiment | INFO flwr 2024-03-07 04:01:09,421 | server.py:86 | PERUN REQUEST: Setting model with peer_5, REQ=set,peer_5,1,1,0,0,99
FL-experiment | INFO flwr 2024-03-07 04:01:09,423 | server.py:86 | PERUN REQUEST: Setting model with peer_6, REQ=set,peer_6,1,1,0,0,99
FL-experiment | INFO flwr 2024-03-07 04:01:09,426 | server.py:86 | PERUN REQUEST: Setting model with peer_7, REQ=set,peer_7,1,1,0,0,99
FL-experiment | INFO flwr 2024-03-07 04:01:09,427 | server.py:86 | PERUN REQUEST: Setting model with peer_8, REQ=set,peer_8,1,1,0,0,99
FL-experiment | INFO flwr 2024-03-07 04:01:09,429 | server.py:86 | PERUN REQUEST: Setting model with peer_9, REQ=set,peer_9,1,1,0,0,99
FL-experiment | INFO flwr 2024-03-07 04:01:09,431 | server.py:93 | Done sending aggregated model to perun nodes round=1
FL-experiment | INFO flwr 2024-03-07 04:01:09,431 | server.py:95 | Done Aggregating round=1
FL-experiment | INFO flwr 2024-03-07 04:01:09,431 | server.py:96 | Done Round=1
FL-experiment | INFO flwr 2024-03-07 04:01:09,431 | server.py:153 | FL finished in 54.811115707999996
FL-experiment | INFO flwr 2024-03-07 04:01:09,431 | app.py:226 | app_fit: losses_distributed [(1, 646.6154663085938)]
FL-experiment | INFO flwr 2024-03-07 04:01:09,431 | app.py:227 | app_fit: metrics_distributed_fit {}
FL-experiment | INFO flwr 2024-03-07 04:01:09,431 | app.py:228 | app_fit: metrics_distributed {'accuracy': [(1, 0.26193)]}
FL-experiment | INFO flwr 2024-03-07 04:01:09,432 | app.py:229 | app_fit: losses_centralized []
FL-experiment | INFO flwr 2024-03-07 04:01:09,432 | app.py:230 | app_fit: metrics_centralized {}
FL-experiment | DEBUG flwr 2024-03-07 04:01:09,437 | connection.py:141 | gRPC channel closed
FL-experiment | DEBUG flwr 2024-03-07 04:01:09,437 | connection.py:141 | gRPC channel closed
FL-experiment | INFO flwr 2024-03-07 04:01:09,437 | app.py:304 | Disconnect and shut down
FL-experiment | INFO flwr 2024-03-07 04:01:09,437 | app.py:304 | Disconnect and shut down
FL-experiment | DEBUG flwr 2024-03-07 04:01:09,437 | connection.py:141 | gRPC channel closed
FL-experiment | INFO flwr 2024-03-07 04:01:09,437 | app.py:304 | Disconnect and shut down
FL-experiment | DEBUG flwr 2024-03-07 04:01:09,437 | connection.py:141 | gRPC channel closed
FL-experiment | DEBUG flwr 2024-03-07 04:01:09,438 | connection.py:141 | gRPC channel closed
FL-experiment | DEBUG flwr 2024-03-07 04:01:09,438 | connection.py:141 | gRPC channel closed
FL-experiment | DEBUG flwr 2024-03-07 04:01:09,438 | connection.py:141 | gRPC channel closed
FL-experiment | INFO flwr 2024-03-07 04:01:09,438 | app.py:304 | Disconnect and shut down
FL-experiment | INFO flwr 2024-03-07 04:01:09,438 | app.py:304 | Disconnect and shut down
FL-experiment | INFO flwr 2024-03-07 04:01:09,438 | app.py:304 | Disconnect and shut down
FL-experiment | INFO flwr 2024-03-07 04:01:09,438 | app.py:304 | Disconnect and shut down
FL-experiment | DEBUG flwr 2024-03-07 04:01:09,438 | connection.py:141 | gRPC channel closed
FL-experiment | INFO flwr 2024-03-07 04:01:09,438 | app.py:304 | Disconnect and shut down
FL-experiment | DEBUG flwr 2024-03-07 04:01:09,438 | connection.py:141 | gRPC channel closed
FL-experiment | INFO flwr 2024-03-07 04:01:09,438 | app.py:304 | Disconnect and shut down
FL-experiment | DEBUG flwr 2024-03-07 04:01:09,448 | connection.py:141 | gRPC channel closed
FL-experiment | INFO flwr 2024-03-07 04:01:09,448 | app.py:304 | Disconnect and shut down
FL-experiment | INFO flwr 2024-03-07 04:01:15,389 | main.py:50 | Start settling channels
FL-experiment | INFO flwr 2024-03-07 04:06:16,883 | main.py:52 | Done settling channels
FL-experiment | INFO flwr 2024-03-07 04:06:16,884 | main.py:54 | Done Experiment
